State/UT,District,Temperature,Condition,Humidity,,
Kerala,Alappuzha,26.4,Partly cloudy,71,,
Kerala,Ernakulam,26.3,Sunny,74,,
Kerala,Idukki,21.8,Sunny,67,,
Kerala,Kannur,25.7,Sunny,64,,
Kerala,Kasaragod,25.2,Sunny,67,,
Kerala,Kollam,26.4,Partly cloudy,65,,
Kerala,Kottayam,26.3,Partly cloudy,68,,
Kerala,Kozhikode,26,Sunny,72,,
Kerala,Malappuram,25.9,Sunny,60,,
Kerala,Palakkad,24.9,Sunny,54,,
Madhya Pradesh,Alirajpur,22.6,Sunny,32,,
Madhya Pradesh,Anuppur,20.5,Sunny,42,,
Madhya Pradesh,Ashoknagar,20.9,Sunny,46,,
Madhya Pradesh,Balaghat,22.9,Sunny,33,,
Madhya Pradesh,Barwani,24.3,Sunny,29,,
Madhya Pradesh,Betul,22.1,Sunny,30,,
Madhya Pradesh,Bhind,19.2,Sunny,43,,
Madhya Pradesh,Bhopal,21.9,Sunny,39,,
Madhya Pradesh,Burhanpur,24,Sunny,28,,
Madhya Pradesh,Chhatarpur,21,Sunny,46,,
Maharashtra,Ahmednagar,24.2,Sunny,22,,
Maharashtra,Akola,25.1,Sunny,21,,
Maharashtra,Amravati,24.6,Sunny,22,,
Maharashtra,Aurangabad,23.5,Sunny,25,,
Maharashtra,Beed,15.4,Partly cloudy,31,,
Maharashtra,Bhandara,23.5,Sunny,29,,
Maharashtra,Buldhana,24.7,Sunny,72,,
Maharashtra,Chandrapur,24.3,Sunny,26,,
Maharashtra,Dhule,25.7,Sunny,27,,
Maharashtra,Gadchiroli,24.7,Sunny,72,,
Manipur,Bishnupur,23.9,Sunny,34,,
Manipur,Churachandpur,14.4,Sunny,53,,
Manipur,Imphal East,14.4,Sunny,53,,
Manipur,Imphal West,14.4,Sunny,53,,
Manipur,Jiribam,24.7,Sunny,72,,
Manipur,Kakching,14.4,Sunny,53,,
Manipur,Kamjong,24.7,Sunny,72,,
Manipur,Kangpokpi,14.4,Sunny,53,,
Manipur,Noney,24.7,Sunny,72,,
Manipur,Pherzawl,24.7,Sunny,72,,
Meghalaya,East Garo Hills,22.9,Light rain shower,89,,
Meghalaya,East Khasi Hills,2.9,Moderate or heavy snow showers,61,,
Meghalaya,Jaintia Hills,21.3,Sunny,47,,
Meghalaya,Ri Bhoi,19,Sunny,28,,
Meghalaya,South Garo Hills,26,Sunny,17,,
Meghalaya,South Khasi Hills,2.9,Moderate or heavy snow showers,61,,
Meghalaya,West Garo Hills,13.4,Patchy rain possible,41,,
Meghalaya,West Khasi Hills,2.9,Moderate or heavy snow showers,61,,
Mizoram,Aizawl,17.6,Sunny,47,,
Mizoram,Champhai,24.7,Sunny,72,,
Mizoram,Hnahthial,17.4,Sunny,29,,
Mizoram,Kolasib,24.7,Sunny,72,,
Mizoram,Lawngtlai,19,Sunny,42,,
Mizoram,Lunglei,19,Sunny,42,,
Mizoram,Mamit,17.6,Sunny,47,,
Mizoram,Saitual,17.6,Sunny,47,,
Mizoram,Serchhip,19,Sunny,42,,
Nagaland,Dimapur,17.6,Sunny,50,,
Nagaland,Kiphire,24.7,Sunny,72,,
Nagaland,Kohima,14.1,Sunny,53,,
Nagaland,Longleng,24.7,Sunny,72,,
Nagaland,Mokokchung,19.8,Sunny,50,,
Nagaland,Mon,19.9,Sunny,49,,
Nagaland,Peren,4.1,Light drizzle,86,,
Nagaland,Phek,14.1,Sunny,53,,
Nagaland,Tuensang,19.8,Sunny,50,,
Nagaland,Zunheboto,14.1,Sunny,53,,
Odisha,Angul,23,Sunny,30,,
Odisha,Balangir,23,Sunny,28,,
Odisha,Bargarh,23.7,Sunny,29,,
Odisha,Bhadrak,22.9,Sunny,43,,
Odisha,Boudh,24.7,Sunny,72,,
Odisha,Cuttack,23.4,Sunny,51,,
Odisha,Deogarh,21.7,Sunny,34,,
Odisha,Dhenkanal,23.4,Sunny,51,,
Odisha,Gajapati,24.7,Sunny,72,,
Odisha,Ganjam,22.1,Sunny,57,,
Punjab,Amritsar,15.8,Sunny,36,,
Punjab,Barnala,16.2,Sunny,36,,
Punjab,Bathinda,24.7,Sunny,72,,
Punjab,Faridkot,16.3,Sunny,34,,
Punjab,Fatehgarh Sahib,16.1,Sunny,37,,
Punjab,Fazilka,17.2,Sunny,33,,
Punjab,Ferozepur,16.2,Sunny,34,,
Punjab,Gurdaspur,15.9,Sunny,36,,
Punjab,Hoshiarpur,16.2,Sunny,38,,
Punjab,Jalandhar,15.9,Sunny,38,,
Rajasthan,Ajmer,19.5,Sunny,36,,
Rajasthan,Alwar,17.7,Sunny,41,,
Rajasthan,Banswara,23.2,Sunny,32,,
Rajasthan,Baran,22,Sunny,47,,
Rajasthan,Barmer,20.3,Sunny,24,,
Rajasthan,Bhilwara,20.3,Sunny,40,,
Rajasthan,Bikaner,19.5,Sunny,28,,
Rajasthan,Bundi,20.8,Sunny,49,,
Rajasthan,Chittorgarh,24.7,Sunny,72,,
Rajasthan,Churu,19.6,Sunny,31,,
Sikkim,East Sikkim,7.1,Sunny,58,,
Sikkim,North Sikkim,7.1,Sunny,58,,
Sikkim,South Sikkim,7.1,Sunny,58,,
Sikkim,West Sikkim,7.1,Sunny,58,,
Tamil Nadu,Ariyalur,23.4,Patchy rain possible,78,,
Tamil Nadu,Chengalpattu,23.7,Cloudy,72,,
Tamil Nadu,Chennai,24.8,Patchy rain possible,70,,
Tamil Nadu,Coimbatore,23.5,Sunny,60,,
Tamil Nadu,Cuddalore,24.3,Cloudy,75,,
Tamil Nadu,Dharmapuri,21.4,Sunny,68,,
Tamil Nadu,Dindigul,23,Sunny,71,,
Tamil Nadu,Erode,24.3,Sunny,59,,
Tamil Nadu,Kallakurichi,24.7,Sunny,72,,
Tamil Nadu,Kanchipuram,23.3,Partly cloudy,73,,
Telangana,Adilabad,24.4,Sunny,23,,
Telangana,Hyderabad,23.7,Sunny,33,,
Telangana,Jagtial,24.2,Sunny,25,,
Telangana,Jangaon,23.1,Sunny,40,,
Telangana,Jayashankar Bhupalapally,24.7,Sunny,72,,
Telangana,Jogulamba Gadwal,24.7,Sunny,34,,
Telangana,Kamareddy,24.7,Sunny,72,,
Telangana,Karimnagar,23.7,Sunny,31,,
Telangana,Khammam,23.5,Sunny,58,,
Telangana,Komaram Bheem Asifabad,23.7,Sunny,26,,
Tripura,Dhalai,18.5,Sunny,49,,
Tripura,Khowai,19.5,Sunny,49,,
Tripura,North Tripura,20.4,Sunny,41,,
Tripura,Sepahijala,24.7,Sunny,72,,
Tripura,South Tripura,20.4,Sunny,41,,
Tripura,Unakoti,24.7,Sunny,72,,
Tripura,West Tripura,20.4,Sunny,41,,
Uttar Pradesh,Agra,18.7,Sunny,42,,
Uttar Pradesh,Aligarh,18.2,Sunny,44,,
Uttar Pradesh,Allahabad,19.9,Sunny,42,,
Uttar Pradesh,Ambedkar Nagar,19.9,Sunny,36,,
Uttar Pradesh,Amethi,19.1,Sunny,39,,
Uttar Pradesh,Amroha,18.3,Sunny,38,,
Uttar Pradesh,Auraiya,19,Sunny,44,,
Uttar Pradesh,Azamgarh,18.6,Sunny,45,,
Uttar Pradesh,Baghpat,17.3,Sunny,41,,
Uttar Pradesh,Bahraich,18.7,Sunny,41,,
Uttarakhand,Almora,12.1,Sunny,35,,
Uttarakhand,Bageshwar,12.1,Sunny,35,,
Uttarakhand,Chamoli,-1.9,Patchy snow possible,44,,
Uttarakhand,Champawat,12.1,Sunny,35,,
Uttarakhand,Dehradun,14.9,Sunny,35,,
Uttarakhand,Haridwar,17.3,Sunny,36,,
Uttarakhand,Nainital,24.7,Sunny,72,,
Uttarakhand,Pauri Garhwal,17.4,Sunny,36,,
